type,value,price,utility_value,utility_class,luxury_rating,difficult
luxury,18,15,,,3,4
essential,8,4,,,,
essential,9,16,,,,
essential,8,11,,,,
luxury,6,3,,,10,8
utility,5,14,1,9,,
luxury,4,1,,,2,6
utility,10,5,1,7,,
utility,11,16,4,6,,
utility,4,9,9,6,,
utility,15,7,10,2,,
essential,1,5,,,,
utility,9,11,6,4,,
utility,8,3,7,3,,
essential,18,18,,,,
essential,2,14,,,,
utility,16,5,0,5,,
essential,17,20,,,,
essential,17,9,,,,
essential,12,13,,,,
essential,13,4,,,,
luxury,14,16,,,7,4
essential,9,2,,,,
essential,8,3,,,,
utility,19,6,10,3,,
luxury,10,5,,,5,4
luxury,11,16,,,8,5
essential,12,10,,,,
essential,15,17,,,,
essential,10,15,,,,
essential,4,13,,,,
luxury,1,13,,,7,4
utility,0,16,0,1,,
essential,15,10,,,,
luxury,10,0,,,0,9
luxury,14,7,,,9,5
utility,14,6,0,8,,
essential,17,7,,,,
luxury,10,3,,,6,5
essential,3,18,,,,
utility,19,19,2,10,,
utility,4,20,2,10,,
utility,17,11,6,8,,
essential,1,4,,,,
utility,20,13,3,8,,
luxury,1,8,,,0,4
essential,5,1,,,,
utility,20,6,9,10,,
essential,15,19,,,,
utility,16,3,10,5,,
