type,value,price,utility_value,utility_class,luxury_rating,difficulty
luxury,14,36,,,9,9
essential,15,16,,,,
utility,11,5,10,0,,
utility,7,13,1,3,,
essential,8,6,,,,
utility,7,10,5,9,,
essential,18,9,,,,
luxury,14,21,,,9,3
utility,4,5,0,5,,
utility,12,13,2,6,,
utility,18,16,4,10,,
luxury,30,12,,,3,4
essential,18,9,,,,
luxury,18,31,,,5,6
utility,12,5,1,7,,
utility,17,13,4,9,,
essential,7,11,,,,
utility,3,17,9,7,,
essential,13,14,,,,
essential,10,9,,,,
utility,9,8,5,10,,
utility,12,8,10,4,,
luxury,14,23,,,8,4
luxury,37,40,,,9,3
utility,11,20,3,6,,
essential,13,14,,,,
luxury,20,27,,,9,2
utility,15,8,2,10,,
essential,20,16,,,,
essential,10,12,,,,
