name,attractiveness,intelligence,maintainance,is_committed,g_type,choose_type
Pfqfmx,5,85,41,False,normal,m_attr
Ogjkii,89,82,9,False,choosy,m_gen
Exidjy,84,12,24,False,desperate,m_attr
Edznwc,48,49,4,False,normal,m_gen
Efitil,16,96,14,False,desperate,m_gen
Cunmws,36,41,18,False,desperate,m_attr
Xqrfab,74,10,24,False,desperate,m_gen
Yipguv,13,11,15,False,choosy,m_gen
Sivseu,50,58,17,False,choosy,m_attr
Kxrvea,31,81,47,False,normal,m_rich
Bbkebr,17,5,10,False,normal,m_gen
Fmkgfl,86,64,21,False,choosy,m_attr
Ydzrcm,96,50,36,False,normal,m_rich
Yvzzll,76,96,15,False,desperate,m_rich
Uejptx,40,51,1,False,normal,m_rich
Oagowa,27,49,18,False,desperate,m_rich
Yqkyzy,52,92,25,False,desperate,m_rich
Euljse,44,75,9,False,normal,m_rich
Eufnum,72,2,12,False,desperate,m_gen
Zjmwjl,39,26,46,False,desperate,m_attr
Aojbiv,41,38,50,False,normal,m_attr
Komkhs,88,68,32,False,choosy,m_gen
Vyqawp,77,27,19,False,normal,m_rich
Vdqvmu,5,57,19,False,choosy,m_attr
Gibpck,39,44,5,False,desperate,m_gen
Zcmxyv,19,24,37,False,desperate,m_rich
Htwxrk,21,80,16,False,desperate,m_gen
Ugifmn,33,8,3,False,desperate,m_attr
Pcgkug,66,41,12,False,desperate,m_attr
Xendfr,29,94,15,False,desperate,m_attr
Kpglen,59,31,21,False,desperate,m_rich
Ccxhmp,58,14,21,False,desperate,m_gen
Gibgtr,68,72,41,False,normal,m_rich
Himwwr,32,20,37,False,normal,m_rich
Hkknrv,61,36,31,False,normal,m_rich
Nsloyl,59,8,43,False,choosy,m_rich
Oltmxv,45,91,36,False,choosy,m_attr
Kdhpwu,20,33,24,False,desperate,m_gen
Iwgctx,6,76,49,False,desperate,m_gen
Usmhaa,19,87,35,False,normal,m_gen
